EX,ID,LIST
"An account was successfully logged on. A member was added to a security-enabled global group. Subject:  Security ID:  ACME\Administrator Account Name:  Administrator Account Domain:  ACME Logon ID:  0x27a79 Member:  Security ID:  ACME\gkhan Account Name:  cn=Ghenghis Khan,CN=Users,DC=acme,DC=local Group:  Security ID:  S-1-5-21-3108364787-189202583-342365621-1108 Group Name:  Historical Figures Group Domain:  ACME Additional Information:  Privileges:  - Expiration time:   ",4728,"['An account was successfully logged on.', 'A member was added to a security-enabled global group.', 'Subject:', ' Security ID:  ACME\\\\\\\\\\\\\\\\Administrator', 'Account Name:  Administrator', 'Account Domain:  ACME', 'Logon ID:  0x27a79', 'Member:', ' Security ID:  ACME\\\\\\\\\\\\\\\\gkhan', 'Account Name:  cn=Ghenghis Khan,CN=Users,DC=acme,DC=local', 'Group:', ' Security ID:  S-1-5-21-3108364787-189202583-342365621-1108', 'Group Name:  Historical Figures', 'Group Domain:  ACME', 'Additional Information:', ' Privileges:  -', 'Expiration time: ']"
"A member was removed from a security-enabled global group. Subject:  Security ID:  ACME\Administrator Account Name:  Administrator Account Domain:  ACME Logon ID:  0x27a79 Member:  Security ID:  ACME\gkhan Account Name:  CN=Ghenghis Khan,CN=Users,DC=acme,DC=local Group:  Security ID:  S-1-5-21-3108364787-189202583-342365621-1108 Group Name:  Historical Figures Group Domain:  ACME Additional Information:  Privileges:  -  ",4729,"['A member was removed from a security-enabled global group.', 'Subject:', ' Security ID:  ACME\\\\\\\\\\\\\\\\Administrator', 'Account Name:  Administrator', 'Account Domain:  ACME', 'Logon ID:  0x27a79', 'Member:', ' Security ID:  ACME\\\\\\\\\\\\\\\\gkhan', 'Account Name:  CN=Ghenghis Khan,CN=Users,DC=acme,DC=local', 'Group:', ' Security ID:  S-1-5-21-3108364787-189202583-342365621-1108', 'Group Name:  Historical Figures', 'Group Domain:  ACME', 'Additional Information:', ' Privileges:  -']"
A security-enabled global group was deleted. Subject:  Security ID:  ACME\Administrator Account Name:  Administrator Account Domain:  ACME Logon ID:  0x27a79 Deleted Group:  Security ID:  S-1-5-21-3108364787-189202583-342365621-1108 Group Name:  Historical Figures Group Domain:  ACME Additional Information:  Privileges:  -  ,4730,"['A security-enabled global group was deleted.', 'Subject:', ' Security ID:  ACME\\\\\\\\\\\\\\\\Administrator', 'Account Name:  Administrator', 'Account Domain:  ACME', 'Logon ID:  0x27a79', 'Deleted Group:', ' Security ID:  S-1-5-21-3108364787-189202583-342365621-1108', 'Group Name:  Historical Figures', 'Group Domain:  ACME', 'Additional Information:', ' Privileges:  -']"
A security-enabled local group was created. Subject:  Security ID:  WIN-R9H529RIO4Y\Administrator Account Name:  Administrator Account Domain:  WIN-R9H529RIO4Y Logon ID:  0x1fd23 New Group:  Security ID:  S-1-5-21-3108364787-189202583-342365621-1001 Group Name:  SalesReps Group Domain:  WIN-R9H529RIO4Y Attributes:  SAM Account Name: SalesReps SID History:  - Additional Information:  Privileges:  - ,4731,"['A security-enabled local group was created.', 'Subject:', ' Security ID:  WIN-R9H529RIO4Y\\\\\\\\\\\\\\\\Administrator', 'Account Name:  Administrator', 'Account Domain:  WIN-R9H529RIO4Y', 'Logon ID:  0x1fd23', 'New Group:', ' Security ID:  S-1-5-21-3108364787-189202583-342365621-1001', 'Group Name:  SalesReps', 'Group Domain:  WIN-R9H529RIO4Y', 'Attributes:', ' SAM Account Name: SalesReps', 'SID History:  -', 'Additional Information:', ' Privileges:  -']"
A member was added to a security-enabled local group. Subject:  Security ID:  WIN-R9H529RIO4Y\Administrator Account Name:  Administrator Account Domain:  WIN-R9H529RIO4Y Logon ID:  0x1fd23 Member:  Security ID:  WIN-R9H529RIO4Y\bob Account Name:  - Group:  Security ID:  BUILTIN\Users Group Name:  Users Group Domain:  Builtin Additional Information:  Privileges:  -   Expiration time:  -  ,4732,"['A member was added to a security-enabled local group.', 'Subject:', ' Security ID:  WIN-R9H529RIO4Y\\\\\\\\\\\\\\\\Administrator', 'Account Name:  Administrator', 'Account Domain:  WIN-R9H529RIO4Y', 'Logon ID:  0x1fd23', 'Member:', ' Security ID:  WIN-R9H529RIO4Y\\\\\\\\\\\\\\\\bob', 'Account Name:  -', 'Group:', ' Security ID:  BUILTIN\\\\\\\\\\\\\\\\Users', 'Group Name:  Users', 'Group Domain:  Builtin', 'Additional Information:', ' Privileges:  -', ' Expiration time:  -']"
A member was removed from a security-enabled local group. Subject:  Security ID:  WIN-R9H529RIO4Y\Administrator Account Name:  Administrator Account Domain:  WIN-R9H529RIO4Y Logon ID:  0x1fd23 Member:  Security ID:  WIN-R9H529RIO4Y\bob Account Name:  - Group:  Security ID:  BUILTIN\Users Group Name:  Users Group Domain:  Builtin Additional Information:  Privileges:  - ,4733,"['A member was removed from a security-enabled local group.', 'Subject:', ' Security ID:  WIN-R9H529RIO4Y\\\\\\\\\\\\\\\\Administrator', 'Account Name:  Administrator', 'Account Domain:  WIN-R9H529RIO4Y', 'Logon ID:  0x1fd23', 'Member:', 'Security ID:  WIN-R9H529RIO4Y\\\\\\\\\\\\\\\\bob', 'Account Name:  -', 'Group:', ' Security ID:  BUILTIN\\\\\\\\\\\\\\\\Users', 'Group Name:  Users', 'Group Domain:  Builtin', 'Additional Information:', ' Privileges:  -']"
A security-enabled local group was deleted. Subject:  Security ID:  WIN-R9H529RIO4Y\Administrator Account Name:  Administrator Account Domain:  WIN-R9H529RIO4Y Logon ID:  0x1fd23 Group:  Security ID:  S-1-5-21-3108364787-189202583-342365621-1001 Group Name:  SalesReps Group Domain:  WIN-R9H529RIO4Y Additional Information:  Privileges:  -  ,4734,"['A security-enabled local group was deleted.', 'Subject:', ' Security ID:  WIN-R9H529RIO4Y\\\\\\\\\\\\\\\\Administrator', 'Account Name:  Administrator', 'Account Domain:  WIN-R9H529RIO4Y', 'Logon ID:  0x1fd23', 'Group:', ' Security ID:  S-1-5-21-3108364787-189202583-342365621-1001', 'Group Name:  SalesReps', 'Group Domain:  WIN-R9H529RIO4Y', 'Additional Information:', ' Privileges:  -']"
A security-enabled local group was changed. Subject:  Security ID:  WIN-R9H529RIO4Y\Administrator Account Name:  Administrator Account Domain:  WIN-R9H529RIO4Y Logon ID:  0x1fd23 Group:  Security ID:  WIN-R9H529RIO4Y\Human Resources Group Name:  Human Resources Group Domain:  WIN-R9H529RIO4Y Changed Attributes:  SAM Account Name: - SID History:  - Additional Information:  Privileges:  -  ,4735,"['A security-enabled local group was changed.', 'Subject:', ' Security ID:  WIN-R9H529RIO4Y\\\\\\\\\\\\\\\\Administrator', 'Account Name:  Administrator', 'Account Domain:  WIN-R9H529RIO4Y', 'Logon ID:  0x1fd23', 'Group:', ' Security ID:  WIN-R9H529RIO4Y\\\\\\\\\\\\\\\\Human Resources', 'Group Name:  Human Resources', 'Group Domain:  WIN-R9H529RIO4Y', 'Changed Attributes:', ' SAM Account Name: -', 'SID History:  -', 'Additional Information:', ' Privileges:  -']"
A security-enabled global group was changed. Subject:  Security ID:  ACME\Administrator Account Name:  Administrator Account Domain:  ACME Logon ID:  0x27a79 Group:  Security ID:  S-1-5-21-3108364787-189202583-342365621-1108 Group Name:  Historical Figures Group Domain:  ACME Changed Attributes:  SAM Account Name: - SID History:  - Additional Information:  Privileges:  -  ,4737,"['A security-enabled global group was changed.', 'Subject:', ' Security ID:  ACME\\\\\\\\\\\\\\\\Administrator', 'Account Name:  Administrator', 'Account Domain:  ACME', 'Logon ID:  0x27a79', 'Group:', ' Security ID:  S-1-5-21-3108364787-189202583-342365621-1108', 'Group Name:  Historical Figures', 'Group Domain:  ACME', 'Changed Attributes:', ' SAM Account Name: -', 'SID History:  -', 'Additional Information:', ' Privileges:  -']"
A user account was changed. Subject:  Security ID:  ACME-FR\administrator Account Name:  administrator Account Domain:  ACME-FR Logon ID:  0x20f9d Target Account:  Security ID:  ACME-FR\John.Locke Account Name:  John.Locke Account Domain:  ACME-FR Changed Attributes:  SAM Account Name: - Display Name:  - User Principal Name: - Home Directory:  - Home Drive:  - Script Path:  - Profile Path:  - User Workstations: - Password Last Set: - Account Expires:  - Primary Group ID: - AllowedToDelegateTo: - Old UAC Value:  0x10 New UAC Value:  0x4010 User Account Control:  'Not Delegated' - Enabled User Parameters: - SID History:  - Logon Hours:  -  Additional Information:  Privileges:  -  ,4738,"['A user account was changed.', 'Subject:', ' Security ID:  ACME-FR\\\\\\\\\\\\\\\\administrator', 'Account Name:  administrator', 'Account Domain:  ACME-FR', 'Logon ID:  0x20f9d', 'Target Account:', ' Security ID:  ACME-FR\\\\\\\\\\\\\\\\John.Locke', 'Account Name:  John.Locke', 'Account Domain:  ACME-FR', 'Changed Attributes:', ' SAM Account Name: -', 'Display Name:  -', 'User Principal Name: -', 'Home Directory:  -', 'Home Drive:  -', 'Script Path:  -', 'Profile Path:  -', 'User Workstations: -', 'Password Last Set: -', 'Account Expires:  -', 'Primary Group ID: -', 'AllowedToDelegateTo: -', 'Old UAC Value:  0x10', 'New UAC Value:  0x4010', 'User Account Control: ', '""Not Delegated - Enabled""', 'User Parameters: -', 'SID History:  -', 'Logon Hours:  -', 'Additional Information:', ' Privileges:  -']"
Domain Policy was changed. Change Type:  Lockout Policy modified Subject:  Security ID:  SYSTEM Account Name:  WIN-R9H529RIO4Y$ Account Domain:  WORKGROUP Logon ID:  0x3e7 Domain:  Domain Name:  WIN-R9H529RIO4Y Domain ID:  ACME\ Changed Attributes:  Min. Password Age: - Max. Password Age: - Force Logoff:  - Lockout Threshold: 7 Lockout Observation Window: 1800 Lockout Duration: 1800 Password Properties: - Min. Password Length: - Password History Length: - Machine Account Quota: - Mixed Domain Mode: - Domain Behavior Version: - OEM Information: - Additional Information:  Privileges:  -  ,4739,"['Domain Policy was changed.', 'Change Type:  Lockout Policy modified', 'Subject:', ' Security ID:  SYSTEM', 'Account Name:  WIN-R9H529RIO4Y$', 'Account Domain:  WORKGROUP', 'Logon ID:  0x3e7', 'Domain:', ' Domain Name:  WIN-R9H529RIO4Y', 'Domain ID:  ACME\\\\\\\\\\\\\\\\', 'Changed Attributes:', ' Min. Password Age: -', 'Max. Password Age: -', 'Force Logoff:  -', 'Lockout Threshold: 7', 'Lockout Observation Window: 1800', 'Lockout Duration: 1800', 'Password Properties: -', 'Min. Password Length: -', 'Password History Length: -', 'Machine Account Quota: -', 'Mixed Domain Mode: -', 'Domain Behavior Version: -', 'OEM Information: -', 'Additional Information:', ' Privileges:  -']"
A user account was locked out. Subject:  Security ID:  SYSTEM Account Name:  WIN-R9H529RIO4Y$ Account Domain:  WORKGROUP Logon ID:  0x3e7 Account That Was Locked Out:  Security ID:  WIN-R9H529RIO4Y\John Account Name:  John Additional Information:  Caller Computer Name: WIN-R9H529RIO4Y ,4740,"['A user account was locked out.', 'Subject:', ' Security ID:  SYSTEM', 'Account Name:  WIN-R9H529RIO4Y$', 'Account Domain:  WORKGROUP', 'Logon ID:  0x3e7', 'Account That Was Locked Out:', ' Security ID:  WIN-R9H529RIO4Y\\\\\\\\\\\\\\\\John', 'Account Name:  John', 'Additional Information:', ' Caller Computer Name: WIN-R9H529RIO4Y']"
A computer account was created. Subject:  Security ID:  ACME\Administrator Account Name:  Administrator Account Domain:  ACME Logon ID:  0x27a79 New Computer Account:  Security ID:  S-1-5-21-3108364787-189202583-342365621-1109 Account Name:  WS2321$ Account Domain:  ACME Attributes:  SAM Account Name: WS2321$ Display Name:  - User Principal Name: - Home Directory:  - Home Drive:  - Script Path:  - Profile Path:  - User Workstations: - Password Last Set: <never> Account Expires:  <never> Primary Group ID: 515 AllowedToDelegateTo: - Old UAC Value:  0x0 New UAC Value:  0x85 User Account Control:  Account Disabled 'Password Not Required' - Enabled 'Workstation Trust Account' - Enabled User Parameters: - SID History:  - Logon Hours:  <value not set> DNS Host Name:  - Service Principal Names: - Additional Information:  Privileges -  ,4741,"['A computer account was created.', 'Subject:', ' Security ID:  ACME\\\\\\\\\\\\\\\\Administrator', 'Account Name:  Administrator', 'Account Domain:  ACME', 'Logon ID:  0x27a79', 'New Computer Account:', ' Security ID:  S-1-5-21-3108364787-189202583-342365621-1109', 'Account Name:  WS2321$', 'Account Domain:  ACME', 'Attributes:', ' SAM Account Name: WS2321$', 'Display Name:  -', 'User Principal Name: -', 'Home Directory:  -', 'Home Drive:  -', 'Script Path:  -', 'Profile Path:  -', 'User Workstations: -', 'Password Last Set: <never>', 'Account Expires:  <never>', 'Primary Group ID: 515', 'AllowedToDelegateTo: -', 'Old UAC Value:  0x0', 'New UAC Value:  0x85', 'User Account Control: Account Disabled Password Not Required - Enabled Workstation Trust Account - Enabled', 'User Parameters: -', 'SID History:  -', 'Logon Hours:  <value not set>', 'DNS Host Name:  -', 'Service Principal Names: -', 'Additional Information:', ' Privileges -']"
A computer account was changed. Subject: Security ID: ACME\Administrator Account Name: Administrator Account Domain: ACME Logon ID: 0x27a79 Computer Account That Was Changed: Security ID: S-1-5-21-3108364787-189202583-342365621-1109 Account Name: WS2321$ Account Domain: ACME  Changed Attributes: SAM Account Name: - Display Name: - User Principal Name: - Home Directory: - Home Drive: - Script Path: - Profile Path: - User Workstations: - Password Last Set: - Account Expires: - Primary Group ID: - AllowedToDelegateTo: - Old UAC Value: 0x85 New UAC Value: 0x84 User Account Control:  Account Enabled User Parameters: - SID History: - Logon Hours: - DNS Host Name: - Service Principal Names: - Additional Information: Privileges: - ,4742,"['A computer account was changed.', 'Subject:', 'Security ID: ACME\\\\\\\\\\\\\\\\Administrator', 'Account Name: Administrator', 'Account Domain: ACME', 'Logon ID: 0x27a79', 'Computer Account That Was Changed:', 'Security ID: S-1-5-21-3108364787-189202583-342365621-1109', 'Account Name: WS2321$', 'Account Domain: ACME', 'Changed Attributes:', 'SAM Account Name: -', 'Display Name: -', 'User Principal Name: -', 'Home Directory: -', 'Home Drive: -', 'Script Path: -', 'Profile Path: -', 'User Workstations: -', 'Password Last Set: -', 'Account Expires: -', 'Primary Group ID: -', 'AllowedToDelegateTo: -', 'Old UAC Value: 0x85', 'New UAC Value: 0x84', 'User Account Control: ', 'Account Enabled', 'User Parameters: -', 'SID History: -', 'Logon Hours: -', 'DNS Host Name: -', 'Service Principal Names: -', 'Additional Information:', 'Privileges: -']"
A computer account was deleted. Subject:  Security ID:  ACME\Administrator Account Name:  Administrator Account Domain:  ACME Logon ID:  0x27a79 Target Computer:  Security ID:  S-1-5-21-3108364787-189202583-342365621-1109 Account Name:  WS2321$ Account Domain:  ACME Additional Information:  Privileges:  -  ,4743,"['A computer account was deleted.', 'Subject:', ' Security ID:  ACME\\\\\\\\\\\\\\\\Administrator', 'Account Name:  Administrator', 'Account Domain:  ACME', 'Logon ID:  0x27a79', 'Target Computer:', ' Security ID:  S-1-5-21-3108364787-189202583-342365621-1109', 'Account Name:  WS2321$', 'Account Domain:  ACME', 'Additional Information:', ' Privileges:  -']"
A security-disabled local group was created. Subject:  Security ID:  WIN-R9H529RIO4Y\Administrator Account Name:  Administrator Account Domain:  WIN-R9H529RIO4Y Logon ID:  0x1fd23 New Group:  Security ID:  S-1-5-21-3108364787-189202583-342365621-1001 Group Name:  SalesReps Group Domain:  WIN-R9H529RIO4Y Attributes:  SAM Account Name: SalesReps SID History:  - Additional Information:  Privileges:  -  ,4744,"['A security-disabled local group was created.', 'Subject:', ' Security ID:  WIN-R9H529RIO4Y\\\\\\\\\\\\\\\\Administrator', 'Account Name:  Administrator', 'Account Domain:  WIN-R9H529RIO4Y', 'Logon ID:  0x1fd23', 'New Group:', ' Security ID:  S-1-5-21-3108364787-189202583-342365621-1001', 'Group Name:  SalesReps', 'Group Domain:  WIN-R9H529RIO4Y', 'Attributes:', ' SAM Account Name: SalesReps', 'SID History:  -', 'Additional Information:', ' Privileges:  -']"
A security-disabled local group was changed. Subject:  Security ID:  WIN-R9H529RIO4Y\Administrator Account Name:  Administrator Account Domain:  WIN-R9H529RIO4Y Logon ID:  0x1fd23 Group:  Security ID:  WIN-R9H529RIO4Y\Human Resources Group Name:  Human Resources Group Domain:  WIN-R9H529RIO4Y Changed Attributes:  SAM Account Name: - SID History:  - Additional Information:  Privileges:  -  ,4745,"['A security-disabled local group was changed.', 'Subject:', ' Security ID:  WIN-R9H529RIO4Y\\\\\\\\\\\\\\\\Administrator', 'Account Name:  Administrator', 'Account Domain:  WIN-R9H529RIO4Y', 'Logon ID:  0x1fd23', 'Group:', ' Security ID:  WIN-R9H529RIO4Y\\\\\\\\\\\\\\\\Human Resources', 'Group Name:  Human Resources', 'Group Domain:  WIN-R9H529RIO4Y', 'Changed Attributes:', ' SAM Account Name: -', 'SID History:  -', 'Additional Information:', ' Privileges:  -']"
A member was added to a security-disabled local group. Subject:  Security ID:  WIN-R9H529RIO4Y\Administrator Account Name:  Administrator Account Domain:  WIN-R9H529RIO4Y Logon ID:  0x1fd23 Member:  Security ID:  WIN-R9H529RIO4Y\bob Account Name:  - Group:  Security ID:  BUILTIN\Users Group Name:  Users Group Domain:  Builtin Additional Information:  Privileges:  -  Expiration time:  -  ,4746,"['A member was added to a security-disabled local group.', 'Subject:', ' Security ID:  WIN-R9H529RIO4Y\\\\\\\\\\\\\\\\Administrator', 'Account Name:  Administrator', 'Account Domain:  WIN-R9H529RIO4Y', 'Logon ID:  0x1fd23', 'Member:', ' Security ID:  WIN-R9H529RIO4Y\\\\\\\\\\\\\\\\bob', 'Account Name:  -', 'Group:', ' Security ID:  BUILTIN\\\\\\\\\\\\\\\\Users', 'Group Name:  Users', 'Group Domain:  Builtin', 'Additional Information:', ' Privileges:  -', ' Expiration time:  -']"
A member was added to a security-disabled local group. Subject:  Security ID:  WIN-R9H529RIO4Y\Administrator Account Name:  Administrator Account Domain:  WIN-R9H529RIO4Y Logon ID:  0x1fd23 Member:  Security ID:  WIN-R9H529RIO4Y\bob Account Name:  - Group:  Security ID:  BUILTIN\Users Group Name:  Users Group Domain:  Builtin Additional Information:  Privileges:  - ,4747,"['A member was added to a security-disabled local group.', 'Subject:', ' Security ID:  WIN-R9H529RIO4Y\\\\\\\\\\\\\\\\Administrator', 'Account Name:  Administrator', 'Account Domain:  WIN-R9H529RIO4Y', 'Logon ID:  0x1fd23', 'Member:', ' Security ID:  WIN-R9H529RIO4Y\\\\\\\\\\\\\\\\bob', 'Account Name:  -', 'Group:', ' Security ID:  BUILTIN\\\\\\\\\\\\\\\\Users', 'Group Name:  Users', 'Group Domain:  Builtin', 'Additional Information:', ' Privileges:  -']"
A security-disabled local group was deleted. Subject:  Security ID:  WIN-R9H529RIO4Y\Administrator Account Name:  Administrator Account Domain:  WIN-R9H529RIO4Y Logon ID:  0x1fd23 Group:  Security ID:  S-1-5-21-3108364787-189202583-342365621-1001 Group Name:  SalesReps Group Domain:  WIN-R9H529RIO4Y Additional Information: Privileges: -  ,4748,"['A security-disabled local group was deleted.', 'Subject:', ' Security ID:  WIN-R9H529RIO4Y\\\\\\\\\\\\\\\\Administrator', 'Account Name:  Administrator', 'Account Domain:  WIN-R9H529RIO4Y', 'Logon ID:  0x1fd23', 'Group:', ' Security ID:  S-1-5-21-3108364787-189202583-342365621-1001', 'Group Name:  SalesReps', 'Group Domain:  WIN-R9H529RIO4Y', 'Additional Information:', 'Privileges: -']"
A security-disabled global group was created. Subject:  Security ID:  ACME\Administrator Account Name:  Administrator Account Domain:  ACME Logon ID:  0x27a79 New Group:  Security ID:  S-1-5-21-3108364787-189202583-342365621-1108 Group Name:  Historical Figures Group Domain:  ACME Attributes:  SAM Account Name: Historical Figures SID History:  - Additional Information:  Privileges:  -  ,4749,"['A security-disabled global group was created.', 'Subject:', ' Security ID:  ACME\\\\\\\\\\\\\\\\Administrator', 'Account Name:  Administrator', 'Account Domain:  ACME', 'Logon ID:  0x27a79', 'New Group:', ' Security ID:  S-1-5-21-3108364787-189202583-342365621-1108', 'Group Name:  Historical Figures', 'Group Domain:  ACME', 'Attributes:', ' SAM Account Name: Historical Figures', 'SID History:  -', 'Additional Information:', ' Privileges:  -']"
A security-disabled global group was changed. Subject:  Security ID:  ACME-FR\administrator Account Name:  administrator Account Domain:  ACME-FR Logon ID:  0x20f9d Group:  Security ID:  ACME-FR\TheOthers Group Name:  TheOthers Group Domain:  ACME-FR Changed Attributes:  SAM Account Name: - SID History:  - Additional Information:  Privileges:  -  ,4750,"['A security-disabled global group was changed.', 'Subject:', ' Security ID:  ACME-FR\\\\\\\\\\\\\\\\administrator', 'Account Name:  administrator', 'Account Domain:  ACME-FR', 'Logon ID:  0x20f9d', 'Group:', ' Security ID:  ACME-FR\\\\\\\\\\\\\\\\TheOthers', 'Group Name:  TheOthers', 'Group Domain:  ACME-FR', 'Changed Attributes:', ' SAM Account Name: -', 'SID History:  -', 'Additional Information:', ' Privileges:  -']"
"A member was added to a security-disabled global group. Subject:  Security ID:  ACME\Administrator Account Name:  Administrator Account Domain:  ACME Logon ID:  0x27a79 Member:  Security ID:  ACME\gkhan Account Name:  cn=Ghenghis Khan,CN=Users,DC=acme,DC=local Group:  Security ID:  S-1-5-21-3108364787-189202583-342365621-1108 Group Name:  Historical Figures Group Domain:  ACME Additional Information:  Privileges:  -   Expiration time:  -  ",4751,"['A member was added to a security-disabled global group.', 'Subject:', ' Security ID:  ACME\\\\\\\\\\\\\\\\Administrator', 'Account Name:  Administrator', 'Account Domain:  ACME', 'Logon ID:  0x27a79', 'Member:', ' Security ID:  ACME\\\\\\\\\\\\\\\\gkhan', 'Account Name:  cn=Ghenghis Khan,CN=Users,DC=acme,DC=local', 'Group:', ' Security ID:  S-1-5-21-3108364787-189202583-342365621-1108', 'Group Name:  Historical Figures', 'Group Domain:  ACME', 'Additional Information:', ' Privileges:  -', ' Expiration time:  -']"
"A member was removed from a security-disabled global group. Subject:  Security ID:  ACME\Administrator Account Name:  Administrator Account Domain:  ACME Logon ID:  0x27a79 Member:  Security ID:  ACME\gkhan Account Name:  cn=Ghenghis Khan,CN=Users,DC=acme,DC=local Group:  Security ID:  S-1-5-21-3108364787-189202583-342365621-1108 Group Name:  Historical Figures Group Domain:  ACME Additional Information:  Privileges:  - ",4752,"['A member was removed from a security-disabled global group.', 'Subject:', ' Security ID:  ACME\\\\\\\\\\\\\\\\Administrator', 'Account Name:  Administrator', 'Account Domain:  ACME', 'Logon ID:  0x27a79', 'Member:', ' Security ID:  ACME\\\\\\\\\\\\\\\\gkhan', 'Account Name:  cn=Ghenghis Khan,CN=Users,DC=acme,DC=local', 'Group:', ' Security ID:  S-1-5-21-3108364787-189202583-342365621-1108', 'Group Name:  Historical Figures', 'Group Domain:  ACME', 'Additional Information:', ' Privileges:  -']"
A security-disabled global group was deleted. Subject:  Security ID:  ACME\Administrator Account Name:  Administrator Account Domain:  ACME Logon ID:  0x27a79 Deleted Group:  Security ID:  S-1-5-21-3108364787-189202583-342365621-1108 Group Name:  Historical Figures Group Domain:  ACME Additional Information:  Privileges:  - ,4753,"['A security-disabled global group was deleted.', 'Subject:', ' Security ID:  ACME\\\\\\\\\\\\\\\\Administrator', 'Account Name:  Administrator', 'Account Domain:  ACME', 'Logon ID:  0x27a79', 'Deleted Group:', ' Security ID:  S-1-5-21-3108364787-189202583-342365621-1108', 'Group Name:  Historical Figures', 'Group Domain:  ACME', 'Additional Information:', ' Privileges:  -']"
A security-enabled universal group was created. Subject:  Security ID:  ACME\Administrator Account Name:  Administrator Account Domain:  ACME Logon ID:  0x27a79 New Group:  Security ID:  S-1-5-21-3108364787-189202583-342365621-1108 Group Name:  Historical Figures Group Domain:  ACME Attributes:  SAM Account Name: Historical Figures SID History:  - Additional Information:  Privileges:  - ,4754,"['A security-enabled universal group was created.', 'Subject:', ' Security ID:  ACME\\\\\\\\\\\\\\\\Administrator', 'Account Name:  Administrator', 'Account Domain:  ACME', 'Logon ID:  0x27a79', 'New Group:', ' Security ID:  S-1-5-21-3108364787-189202583-342365621-1108', 'Group Name:  Historical Figures', 'Group Domain:  ACME', 'Attributes:', ' SAM Account Name: Historical Figures', 'SID History:  -', 'Additional Information:', ' Privileges:  -']"
A security-enabled universal group was changed. Subject:  Security ID: %4 Account Name: %5 Account Domain: %6 Logon ID: %7 Group:  Security ID: %3 Group Name: %1 Group Domain: %2 Changed Attributes:  SAM Account Name: %9 SID History: %10 Additional Information:  Privileges: %8  ,4755,"['A security-enabled universal group was changed.', 'Subject:', ' Security ID: %4', 'Account Name: %5', 'Account Domain: %6', 'Logon ID: %7', 'Group:', ' Security ID: %3', 'Group Name: %1', 'Group Domain: %2', 'Changed Attributes:', ' SAM Account Name: %9', 'SID History: %10', 'Additional Information:', ' Privileges: %8']"
"A member was added to a security-enabled universal group. Subject:  Security ID: ACME\Administrator Account Name: Administrator Account Domain: ACME Logon ID: 0x27a79  Member:  Security ID: ACME\gkhan Account Name: cn=Ghenghis Khan,CN=Users,DC=acme,DC=local  Group:  Security ID: S-1-5-21-3108364787-189202583-342365621-1108 Group Name: Historical Figures Group Domain: ACME Additional Information:  Privileges: - :  Expiration time: ",4756,"['A member was added to a security-enabled universal group.', 'Subject:', ' Security ID: ACME\\\\\\\\\\\\\\\\Administrator', 'Account Name: Administrator', 'Account Domain: ACME', 'Logon ID: 0x27a79 ', 'Member:', ' Security ID: ACME\\\\\\\\\\\\\\\\gkhan', 'Account Name: cn=Ghenghis Khan,CN=Users,DC=acme,DC=local ', 'Group:', ' Security ID: S-1-5-21-3108364787-189202583-342365621-1108', 'Group Name: Historical Figures', 'Group Domain: ACME', 'Additional Information:', ' Privileges: - :', ' Expiration time:,-']"
A member was removed from a security-enabled universal group. Subject:  Security ID: %6 Account Name: %7 Account Domain: %8 Logon ID: %9 Member:   Security ID: %2 Account Name: %1 Group:  Security ID: %5 Group Name: %3 Group Domain: %4 Additional Information:  Privileges: %10  ,4757,"['A member was removed from a security-enabled universal group.', 'Subject:', ' Security ID: %6', 'Account Name: %7', 'Account Domain: %8', 'Logon ID: %9', 'Member:', ' Security ID: %2', 'Account Name: %1', 'Group:', ' Security ID: %5', 'Group Name: %3', 'Group Domain: %4', 'Additional Information:', ' Privileges: %10 ']"
A security-enabled universal group was deleted. Subject:  Security ID: ACME\Administrator Account Name: Administrator Account Domain: ACME Logon ID: 0x27a79  Deleted Group:  Security ID: S-1-5-21-3108364787-189202583-342365621-1108 Group Name: Historical Figures Group Domain: ACME  Additional Information:  Privileges: - :  ,4758,"['A security-enabled universal group was deleted.', 'Subject:', ' Security ID: ACME\\\\\\\\\\\\\\\\Administrator', 'Account Name: Administrator', 'Account Domain: ACME', 'Logon ID: 0x27a79 ', 'Deleted Group:', ' Security ID: S-1-5-21-3108364787-189202583-342365621-1108', 'Group Name: Historical Figures', 'Group Domain: ACME ', 'Additional Information:', ' Privileges: - : ']"
A security-disabled universal group was created. Subject:  Security ID:  ACME\Administrator Account Name:  Administrator Account Domain:  ACME Logon ID:  0x27a79 New Group:  Security ID:  S-1-5-21-3108364787-189202583-342365621-1108 Group Name:  Historical Figures Group Domain:  ACME Attributes:  SAM Account Name: Historical Figures SID History:  - Additional Information:  Privileges:  - ,4759,"['A security-disabled universal group was created.', 'Subject:', ' Security ID:  ACME\\\\\\\\\\\\\\\\Administrator', 'Account Name:  Administrator', 'Account Domain:  ACME', 'Logon ID:  0x27a79', 'New Group:', ' Security ID:  S-1-5-21-3108364787-189202583-342365621-1108', 'Group Name:  Historical Figures', 'Group Domain:  ACME', 'Attributes:', ' SAM Account Name: Historical Figures', 'SID History:  -', 'Additional Information:', ' Privileges:  -']"
